P99299 2024-05-29 15:21:23,562 runWISDEM:run_wisdem:99 INFO:Started
P99299 2024-05-29 15:21:24,144 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 3
P99299 2024-05-29 15:21:24,149 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 4
P99299 2024-05-29 15:21:24,155 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 5
P99299 2024-05-29 15:21:24,161 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 6
P99299 2024-05-29 15:21:24,169 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 7
P99299 2024-05-29 15:21:24,177 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 8
P99299 2024-05-29 15:21:24,185 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 9
P99299 2024-05-29 15:21:24,193 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 10
P99299 2024-05-29 15:21:24,201 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 11
P99299 2024-05-29 15:21:24,208 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 12
P99299 2024-05-29 15:21:24,216 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 13
P99299 2024-05-29 15:21:24,223 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 14
P99299 2024-05-29 15:21:24,231 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 15
P99299 2024-05-29 15:21:24,238 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 16
P99299 2024-05-29 15:21:24,245 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 17
P99299 2024-05-29 15:21:24,252 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 18
P99299 2024-05-29 15:21:24,260 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 19
P99299 2024-05-29 15:21:24,267 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 20
P99299 2024-05-29 15:21:24,276 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 21
P99299 2024-05-29 15:21:24,284 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 22
P99299 2024-05-29 15:21:24,291 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 23
P99299 2024-05-29 15:21:24,299 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 24
P99299 2024-05-29 15:21:24,306 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 25
P99299 2024-05-29 15:21:24,314 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 26
P99299 2024-05-29 15:21:24,321 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 27
P99299 2024-05-29 15:21:24,329 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 28
P99299 2024-05-29 15:21:24,336 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 29
P99299 2024-05-29 15:21:31,428 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 3
P99299 2024-05-29 15:21:31,434 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 4
P99299 2024-05-29 15:21:31,440 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 5
P99299 2024-05-29 15:21:31,446 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 6
P99299 2024-05-29 15:21:31,454 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 7
P99299 2024-05-29 15:21:31,463 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 8
P99299 2024-05-29 15:21:31,472 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 9
P99299 2024-05-29 15:21:31,479 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 10
P99299 2024-05-29 15:21:31,487 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 11
P99299 2024-05-29 15:21:31,495 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 12
P99299 2024-05-29 15:21:31,502 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 13
P99299 2024-05-29 15:21:31,510 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 14
P99299 2024-05-29 15:21:31,517 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 15
P99299 2024-05-29 15:21:31,525 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 16
P99299 2024-05-29 15:21:31,532 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 17
P99299 2024-05-29 15:21:31,539 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 18
P99299 2024-05-29 15:21:31,546 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 19
P99299 2024-05-29 15:21:31,554 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 20
P99299 2024-05-29 15:21:31,562 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 21
P99299 2024-05-29 15:21:31,570 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 22
P99299 2024-05-29 15:21:31,577 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 23
