P39654 2024-05-17 13:42:10,922 runWISDEM:run_wisdem:99 INFO:Started
P39654 2024-05-17 13:42:11,209 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 3
P39654 2024-05-17 13:42:11,212 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 4
P39654 2024-05-17 13:42:11,216 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 5
P39654 2024-05-17 13:42:11,219 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 6
P39654 2024-05-17 13:42:11,223 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 7
P39654 2024-05-17 13:42:11,227 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 8
P39654 2024-05-17 13:42:11,231 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 9
P39654 2024-05-17 13:42:11,235 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 10
P39654 2024-05-17 13:42:11,239 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 11
P39654 2024-05-17 13:42:11,243 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 12
P39654 2024-05-17 13:42:11,247 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 13
P39654 2024-05-17 13:42:11,251 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 14
P39654 2024-05-17 13:42:11,255 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 15
P39654 2024-05-17 13:42:11,259 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 16
P39654 2024-05-17 13:42:11,263 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 17
P39654 2024-05-17 13:42:11,267 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 18
P39654 2024-05-17 13:42:11,271 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 19
P39654 2024-05-17 13:42:11,275 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 20
P39654 2024-05-17 13:42:11,279 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 21
P39654 2024-05-17 13:42:11,283 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 22
P39654 2024-05-17 13:42:11,287 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 23
P39654 2024-05-17 13:42:11,291 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 24
P39654 2024-05-17 13:42:11,295 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 25
P39654 2024-05-17 13:42:11,299 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 26
P39654 2024-05-17 13:42:11,303 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 27
P39654 2024-05-17 13:42:11,307 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 28
P39654 2024-05-17 13:42:11,311 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 29
