P20458 2024-06-17 17:22:17,869 runWISDEM:run_wisdem:99 INFO:Started
P20458 2024-06-17 17:28:20,479 runWISDEM:run_wisdem:99 INFO:Started
P20458 2024-06-17 17:28:20,776 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 1
P20458 2024-06-17 17:28:20,780 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 2
P20458 2024-06-17 17:28:20,785 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 3
P20458 2024-06-17 17:28:20,790 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 4
P20458 2024-06-17 17:28:20,794 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 5
P20458 2024-06-17 17:28:20,798 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 6
P20458 2024-06-17 17:28:20,801 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 7
P20458 2024-06-17 17:28:20,804 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 8
P20458 2024-06-17 17:28:20,808 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 9
P20458 2024-06-17 17:28:20,811 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 10
P20458 2024-06-17 17:28:20,814 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 11
P20458 2024-06-17 17:28:20,816 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 12
P20458 2024-06-17 17:28:20,819 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 13
P20458 2024-06-17 17:28:20,822 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 14
P20458 2024-06-17 17:28:20,825 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 15
P20458 2024-06-17 17:28:20,828 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 16
P20458 2024-06-17 17:28:20,830 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 17
P20458 2024-06-17 17:28:20,833 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 18
P20458 2024-06-17 17:28:20,836 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 19
P20458 2024-06-17 17:28:20,839 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 20
P20458 2024-06-17 17:28:20,842 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 21
P20458 2024-06-17 17:28:20,845 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 22
P20458 2024-06-17 17:28:20,848 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 23
P20458 2024-06-17 17:28:20,850 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 24
P20458 2024-06-17 17:28:20,853 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 25
P20458 2024-06-17 17:28:20,858 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 26
P20458 2024-06-17 17:28:20,863 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 27
P20458 2024-06-17 17:28:20,867 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 28
P20458 2024-06-17 17:28:20,871 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 29
P20458 2024-06-17 17:28:24,767 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 1
P20458 2024-06-17 17:28:24,772 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 2
P20458 2024-06-17 17:28:24,777 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 3
P20458 2024-06-17 17:28:24,782 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 4
P20458 2024-06-17 17:28:24,786 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 5
P20458 2024-06-17 17:28:24,790 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 6
