P19889 2024-06-17 17:20:53,801 runWISDEM:run_wisdem:99 INFO:Started
P19889 2024-06-17 17:21:03,674 runWISDEM:run_wisdem:99 INFO:Started
P19889 2024-06-17 17:21:03,913 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 1
P19889 2024-06-17 17:21:03,918 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 2
P19889 2024-06-17 17:21:03,922 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 3
P19889 2024-06-17 17:21:03,927 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 4
P19889 2024-06-17 17:21:03,932 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 5
P19889 2024-06-17 17:21:03,936 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 6
P19889 2024-06-17 17:21:03,939 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 7
P19889 2024-06-17 17:21:03,943 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 8
P19889 2024-06-17 17:21:03,946 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 9
P19889 2024-06-17 17:21:03,949 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 10
P19889 2024-06-17 17:21:03,952 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 11
P19889 2024-06-17 17:21:03,955 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 12
P19889 2024-06-17 17:21:03,958 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 13
P19889 2024-06-17 17:21:03,961 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 14
P19889 2024-06-17 17:21:03,964 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 15
P19889 2024-06-17 17:21:03,967 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 16
P19889 2024-06-17 17:21:03,969 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 17
P19889 2024-06-17 17:21:03,972 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 18
P19889 2024-06-17 17:21:03,975 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 19
P19889 2024-06-17 17:21:03,978 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 20
P19889 2024-06-17 17:21:03,981 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 21
P19889 2024-06-17 17:21:03,984 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 22
P19889 2024-06-17 17:21:03,986 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 23
P19889 2024-06-17 17:21:03,989 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 24
P19889 2024-06-17 17:21:03,992 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 25
P19889 2024-06-17 17:21:03,997 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 26
P19889 2024-06-17 17:21:04,001 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 27
P19889 2024-06-17 17:21:04,005 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 28
P19889 2024-06-17 17:21:04,009 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 29
P19889 2024-06-17 17:21:08,554 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 1
P19889 2024-06-17 17:21:08,559 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 2
P19889 2024-06-17 17:21:08,564 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 3
P19889 2024-06-17 17:21:08,569 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 4
P19889 2024-06-17 17:21:08,574 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 5
P19889 2024-06-17 17:21:08,577 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 6
P19889 2024-06-17 17:21:08,581 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 7
P19889 2024-06-17 17:21:08,584 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 8
P19889 2024-06-17 17:21:08,587 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 9
P19889 2024-06-17 17:21:08,590 gc_WT_DataStruc:compute:3355 INFO:3D correction applied to airfoil polars for section 10
