P55056 2024-05-16 14:39:19,760 runWISDEM:run_wisdem:99 INFO:Started
P55056 2024-05-16 14:39:20,086 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 3
P55056 2024-05-16 14:39:20,091 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 4
P55056 2024-05-16 14:39:20,096 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 5
P55056 2024-05-16 14:39:20,101 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 6
P55056 2024-05-16 14:39:20,106 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 7
P55056 2024-05-16 14:39:20,110 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 8
P55056 2024-05-16 14:39:20,114 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 9
P55056 2024-05-16 14:39:20,117 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 10
P55056 2024-05-16 14:39:20,121 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 11
P55056 2024-05-16 14:39:20,124 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 12
P55056 2024-05-16 14:39:20,127 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 13
P55056 2024-05-16 14:39:20,130 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 14
P55056 2024-05-16 14:39:20,133 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 15
P55056 2024-05-16 14:39:20,136 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 16
P55056 2024-05-16 14:39:20,139 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 17
P55056 2024-05-16 14:39:20,141 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 18
P55056 2024-05-16 14:39:20,144 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 19
P55056 2024-05-16 14:39:20,147 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 20
P55056 2024-05-16 14:39:20,150 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 21
P55056 2024-05-16 14:39:20,153 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 22
P55056 2024-05-16 14:39:20,156 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 23
P55056 2024-05-16 14:39:20,159 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 24
P55056 2024-05-16 14:39:20,162 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 25
P55056 2024-05-16 14:39:20,165 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 26
P55056 2024-05-16 14:39:20,168 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 27
P55056 2024-05-16 14:39:20,171 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 28
P55056 2024-05-16 14:39:20,175 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 29
P55056 2024-05-16 14:39:24,064 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 3
P55056 2024-05-16 14:39:24,070 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 4
P55056 2024-05-16 14:39:24,075 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 5
P55056 2024-05-16 14:39:24,080 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 6
P55056 2024-05-16 14:39:24,085 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 7
P55056 2024-05-16 14:39:24,089 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 8
P55056 2024-05-16 14:39:24,092 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 9
P55056 2024-05-16 14:39:24,096 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 10
P55056 2024-05-16 14:39:24,099 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 11
P55056 2024-05-16 14:39:24,103 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 12
P55056 2024-05-16 14:39:24,106 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 13
P55056 2024-05-16 14:39:24,109 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 14
P55056 2024-05-16 14:39:24,111 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 15
P55056 2024-05-16 14:39:24,114 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 16
P55056 2024-05-16 14:39:24,117 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 17
P55056 2024-05-16 14:39:24,120 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 18
