variables,type,units,values,description
fixedse.yaw,input,deg,[0.],
fixedse.rho_water,input,kg/m**3,[1025.],
fixedse.z0,input,m,[0.],
fixedse.water_depth,input,m,[-20.],
fixedse.Uc,input,m/s,[0.],mean current speed
fixedse.Hsig_wave,input,m,[4.52],
fixedse.Tsig_wave,input,s,[9.45],
fixedse.beta_wave,input,deg,[0.],
fixedse.mu_water,input,kg/m/s,[0.0013351],
fixedse.ca_usr,input,,[-1.],
fixedse.cd_usr,input,,[-1.],
fixedse.env.Uref,input,m/s,[0.],
fixedse.shearExp,input,,[0.12],
fixedse.beta_wind,input,deg,[0.],
fixedse.rho_air,input,kg/m**3,[1.225],
fixedse.mu_air,input,kg/m/s,[1.81e-05],
fixedse.s_all,input,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
fixedse.member.s_ghost1,input,,[0.],
fixedse.member.s_ghost2,input,,[1.],
fixedse.s_const2,input,,[0.],
fixedse.monopile_layer_thickness,input,m,"[[0.0494099  0.0604717  0.14459475 0.05608661 0.13140711 0.04356153
  0.12205373]]",
fixedse.monopile_outer_diameter_in,input,m,[10. 10. 10. 10. 10. 10. 10.],
fixedse.E_mat,input,Pa,"[[3.440e+09 3.440e+09 3.440e+09]
 [2.000e+11 2.000e+11 2.000e+11]
 [2.050e+11 2.050e+11 2.050e+11]
 [1.180e+11 1.180e+11 1.180e+11]
 [4.460e+10 1.700e+10 1.670e+10]
 [1.145e+11 8.390e+09 8.390e+09]
 [1.110e+10 1.110e+10 1.670e+10]
 [2.870e+10 1.660e+10 1.670e+10]
 [1.292e+08 1.292e+08 1.292e+08]
 [1.000e+06 1.000e+06 1.000e+06]
 [4.560e+06 4.560e+06 4.560e+06]]",
fixedse.E_user,input,Pa,[0.],
fixedse.G_mat,input,Pa,"[[1.32300000e+09 1.32300000e+09 1.32300000e+09]
 [7.93000000e+10 7.93000000e+10 7.93000000e+10]
 [8.00000000e+10 8.00000000e+10 8.00000000e+10]
 [4.76000000e+10 4.76000000e+10 4.76000000e+10]
 [3.27000000e+09 3.48000000e+09 3.50000000e+09]
 [5.99000000e+09 5.99000000e+09 5.99000000e+09]
 [1.35300000e+10 3.49000000e+09 3.49000000e+09]
 [8.40000000e+09 3.49000000e+09 3.49000000e+09]
 [4.89469697e+07 4.89469697e+07 4.89469697e+07]
 [3.12500000e+05 3.12500000e+05 3.12500000e+05]
 [1.52000000e+06 1.52000000e+06 1.52000000e+06]]",
fixedse.sigma_y_mat,input,Pa,"[0.00e+00 3.45e+08 4.85e+08 2.65e+08 0.00e+00 0.00e+00 0.00e+00 0.00e+00
 0.00e+00 0.00e+00 0.00e+00]",
fixedse.sigma_ult_mat,input,Pa,"[[7.400e+01 7.400e+01 7.400e+01]
 [4.500e+08 4.500e+08 4.500e+08]
 [8.140e+08 8.140e+08 8.140e+08]
 [3.100e+08 3.100e+08 3.100e+08]
 [6.092e+08 3.810e+07 1.529e+07]
 [1.546e+09 0.000e+00 0.000e+00]
 [4.290e+07 4.260e+07 1.530e+07]
 [3.960e+08 7.640e+07 1.530e+07]
 [2.083e+06 2.083e+06 2.083e+06]
 [0.000e+00 0.000e+00 0.000e+00]
 [6.900e+05 6.900e+05 6.900e+05]]",
fixedse.wohler_exp_mat,input,,[ 1.   3.   3.   3.  10.  16.1 10.  10.   1.   1.   1. ],
fixedse.wohler_A_mat,input,,"[8.70000000e+01 3.55346484e+10 3.55346484e+10 3.55346484e+10
 6.09200000e+08 1.54600000e+09 1.13200000e+08 4.48900000e+08
 2.08300000e+06 0.00000000e+00 6.90000000e+05]",
fixedse.rho_mat,input,kg/m**3,[1235. 7800. 7850. 7200. 1940. 1220. 1940. 1940.  130. 1150. 1100.],
fixedse.unit_cost_mat,input,USD/kg,[ 7.23  0.7   0.9   0.5   1.87 30.    3.    2.86 13.    3.63  9.  ],
fixedse.outfitting_factor_in,input,,[1.07],
fixedse.monopile_layer_materials,input,Unavailable,['steel'],
fixedse.member.ballast_materials,input,Unavailable,[],
fixedse.material_names,input,Unavailable,"['Gelcoat', 'steel', 'steel_drive', 'cast_iron', 'glass_uni', 'CarbonUD', 'glass_biax', 'glass_triax', 'medium_density_foam', 'resin', 'adhesive']",
fixedse.labor_cost_rate,input,USD/min,[0.98],
fixedse.painting_cost_rate,input,USD/m**2,[30.],
fixedse.transition_piece_mass,input,kg,[100000.],
fixedse.transition_piece_cost,input,USD,[500000.],
fixedse.gravity_foundation_mass,input,kg,[0.],
fixedse.monopile.rna_F,input,N,"[[ 2.91197623e+06]
 [-3.35507584e+03]
 [-6.52190415e+06]]",
fixedse.monopile.rna_M,input,N*m,"[[  -664794.56693064]
 [-11953596.04597049]
 [  6489575.1101613 ]]",
fixedse.rna_mass,input,kg,[982862.],
fixedse.rna_I,input,kg*m**2,"[4.16658931e+08 2.72234714e+08 2.53033716e+08 2.02613158e+02
 1.08611945e+07 1.44041114e+05]",
fixedse.rna_cg,input,m,[-6.45454143 -0.08333288  4.71047874],
