P99299 2024-05-29 15:24:30,861 runWISDEM:run_wisdem:99 INFO:Started
P99299 2024-05-29 15:24:31,467 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 1
P99299 2024-05-29 15:24:31,478 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 2
P99299 2024-05-29 15:24:31,487 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 3
P99299 2024-05-29 15:24:31,496 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 4
P99299 2024-05-29 15:24:31,505 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 5
P99299 2024-05-29 15:24:31,511 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 6
P99299 2024-05-29 15:24:31,518 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 7
P99299 2024-05-29 15:24:31,525 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 8
P99299 2024-05-29 15:24:31,532 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 9
P99299 2024-05-29 15:24:31,538 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 10
P99299 2024-05-29 15:24:31,543 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 11
P99299 2024-05-29 15:24:31,549 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 12
P99299 2024-05-29 15:24:31,554 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 13
P99299 2024-05-29 15:24:31,559 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 14
P99299 2024-05-29 15:24:31,565 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 15
P99299 2024-05-29 15:24:31,570 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 16
P99299 2024-05-29 15:24:31,576 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 17
P99299 2024-05-29 15:24:31,581 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 18
P99299 2024-05-29 15:24:31,586 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 19
P99299 2024-05-29 15:24:31,592 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 20
P99299 2024-05-29 15:24:31,597 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 21
P99299 2024-05-29 15:24:31,603 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 22
P99299 2024-05-29 15:24:31,608 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 23
P99299 2024-05-29 15:24:31,613 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 24
P99299 2024-05-29 15:24:31,619 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 25
P99299 2024-05-29 15:24:31,628 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 26
P99299 2024-05-29 15:24:31,636 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 27
P99299 2024-05-29 15:24:31,643 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 28
P99299 2024-05-29 15:24:31,651 gc_WT_DataStruc:compute:3290 INFO:3D correction applied to airfoil polars for section 29
